Gene	Cancer	Corr	Pvalue	FDR	Significance	Pathway	Genes	GeneOrder	GeneOrder2
MAX	DLBC	-0.196482848	0.180228544	1	NA	Myc	MAX	9.MAX	17.MAX
MGA	DLBC	0.141663048	0.335727167	1	NA	Myc	MGA	10.MGA	18.MGA
MYC	DLBC	0.561550152	4.48E-05	0.059731096	NA	Myc	MYC	11.MYC	19.MYC
MAX	ESCA	-0.052412732	0.468783422	1	NA	Myc	MAX	9.MAX	17.MAX
MGA	ESCA	0.188246154	0.008832949	1	NA	Myc	MGA	10.MGA	18.MGA
MYC	ESCA	0.144912465	0.044427157	1	NA	Myc	MYC	11.MYC	19.MYC
MAX	GBM	-0.146264985	0.054190791	1	NA	Myc	MAX	9.MAX	17.MAX
MGA	GBM	0.235677553	0.001789238	1	NA	Myc	MGA	10.MGA	18.MGA
MYC	GBM	0.212107406	0.005033039	1	NA	Myc	MYC	11.MYC	19.MYC
MAX	HNSC	0.067165566	0.11236118	1	NA	Myc	MAX	9.MAX	17.MAX
MGA	HNSC	0.241692174	6.92E-09	9.23E-06	2	Myc	MGA	10.MGA	18.MGA
MYC	HNSC	0.073090043	0.083975199	1	NA	Myc	MYC	11.MYC	19.MYC
MAX	KICH	0.090858018	0.396417558	1	NA	Myc	MAX	9.MAX	17.MAX
MGA	KICH	0.127715356	0.232512965	1	NA	Myc	MGA	10.MGA	18.MGA
MYC	KICH	-0.314470548	0.00280187	1	NA	Myc	MYC	11.MYC	19.MYC
MAX	KIRC	0.044427989	0.282444817	1	NA	Myc	MAX	9.MAX	17.MAX
MGA	KIRC	0.026636183	0.519522041	1	NA	Myc	MGA	10.MGA	18.MGA
MYC	KIRC	0.204090209	6.14E-07	0.000818485	2	Myc	MYC	11.MYC	19.MYC
MAX	KIRP	-0.162788676	0.003638547	1	NA	Myc	MAX	9.MAX	17.MAX
MGA	KIRP	0.068253326	0.224709479	1	NA	Myc	MGA	10.MGA	18.MGA
MYC	KIRP	0.157411327	0.004940138	1	NA	Myc	MYC	11.MYC	19.MYC
MAX	LAML	0.002755747	0.971277308	1	NA	Myc	MAX	9.MAX	17.MAX
MGA	LAML	0.356573696	1.73E-06	0.002311839	2	Myc	MGA	10.MGA	18.MGA
MYC	LAML	0.37528218	4.46E-07	0.000594783	2	Myc	MYC	11.MYC	19.MYC
MAX	LGG	-0.082075892	0.24296915	1	NA	Myc	MAX	9.MAX	17.MAX
MGA	LGG	-0.366857256	8.48E-08	0.000112982	2	Myc	MGA	10.MGA	18.MGA
MYC	LGG	0.129588454	0.06473848	1	NA	Myc	MYC	11.MYC	19.MYC
MAX	LIHC	-0.175636401	0.00029919	0.39882073	NA	Myc	MAX	9.MAX	17.MAX
MGA	LIHC	0.048178805	0.323905399	1	NA	Myc	MGA	10.MGA	18.MGA
MYC	LIHC	-0.252808463	1.61E-07	0.000215007	2	Myc	MYC	11.MYC	19.MYC
MAX	LUAD	-0.179071264	1.79E-05	0.023826548	2	Myc	MAX	9.MAX	17.MAX
MGA	LUAD	0.164184434	8.34E-05	0.111119344	NA	Myc	MGA	10.MGA	18.MGA
MYC	LUAD	0.111510351	0.007758671	1	NA	Myc	MYC	11.MYC	19.MYC
MAX	LUSC	-0.025343548	0.557746511	1	NA	Myc	MAX	9.MAX	17.MAX
MGA	LUSC	0.242394495	1.42E-08	1.90E-05	2	Myc	MGA	10.MGA	18.MGA
MYC	LUSC	0.264707077	5.40E-10	7.20E-07	2	Myc	MYC	11.MYC	19.MYC
MAX	OV	-0.160010764	0.005063363	1	NA	Myc	MAX	9.MAX	17.MAX
MGA	OV	0.14777552	0.009688462	1	NA	Myc	MGA	10.MGA	18.MGA
MYC	OV	0.032812642	0.567261083	1	NA	Myc	MYC	11.MYC	19.MYC
MAX	PAAD	0.027080477	0.733105156	1	NA	Myc	MAX	9.MAX	17.MAX
MGA	PAAD	-0.2452611	0.001761908	1	NA	Myc	MGA	10.MGA	18.MGA
MYC	PAAD	0.082424661	0.298246045	1	NA	Myc	MYC	11.MYC	19.MYC
MAX	PCPG	-0.077140553	0.295026589	1	NA	Myc	MAX	9.MAX	17.MAX
MGA	PCPG	0.321878511	8.36E-06	0.011148977	2	Myc	MGA	10.MGA	18.MGA
MYC	PCPG	-0.385956389	6.83E-08	9.11E-05	2	Myc	MYC	11.MYC	19.MYC
MAX	PRAD	-0.330199197	2.49E-15	3.32E-12	2	Myc	MAX	9.MAX	17.MAX
MGA	PRAD	0.10065468	0.018754065	1	NA	Myc	MGA	10.MGA	18.MGA
MYC	PRAD	0.36380169	1.69E-18	2.26E-15	2	Myc	MYC	11.MYC	19.MYC
MAX	SARC	-0.052411335	0.399756403	1	NA	Myc	MAX	9.MAX	17.MAX
MGA	SARC	0.262694373	1.90E-05	0.025384194	2	Myc	MGA	10.MGA	18.MGA
MYC	SARC	0.031216438	0.616116411	1	NA	Myc	MYC	11.MYC	19.MYC
MAX	SKCM	-0.180409859	7.96E-05	0.106065139	NA	Myc	MAX	9.MAX	17.MAX
MGA	SKCM	0.174608719	0.000135193	0.180212481	NA	Myc	MGA	10.MGA	18.MGA
MYC	SKCM	0.300769894	3.02E-11	4.02E-08	2	Myc	MYC	11.MYC	19.MYC
MAX	STAD	-0.154904205	0.001175265	1	NA	Myc	MAX	9.MAX	17.MAX
MGA	STAD	0.132261986	0.005675827	1	NA	Myc	MGA	10.MGA	18.MGA
MYC	STAD	0.338552597	5.09E-13	6.79E-10	2	Myc	MYC	11.MYC	19.MYC
MAX	TGCT	-0.487093552	1.80E-10	2.40E-07	2	Myc	MAX	9.MAX	17.MAX
MGA	TGCT	0.370078309	2.55E-06	0.003392487	2	Myc	MGA	10.MGA	18.MGA
MYC	TGCT	0.002039896	0.979894821	1	NA	Myc	MYC	11.MYC	19.MYC
MAX	THCA	0.00800517	0.849152725	1	NA	Myc	MAX	9.MAX	17.MAX
MGA	THCA	-0.009710139	0.817484024	1	NA	Myc	MGA	10.MGA	18.MGA
MYC	THCA	0.030626831	0.466595047	1	NA	Myc	MYC	11.MYC	19.MYC
MAX	THYM	0.460552969	1.34E-07	0.000178148	2	Myc	MAX	9.MAX	17.MAX
MGA	THYM	-0.268656174	0.002853785	1	NA	Myc	MGA	10.MGA	18.MGA
MYC	THYM	0.380353644	1.80E-05	0.02397156	2	Myc	MYC	11.MYC	19.MYC
MAX	UCEC	-0.321941193	4.23E-06	0.00563931	2	Myc	MAX	9.MAX	17.MAX
MGA	UCEC	0.07218758	0.31189422	1	NA	Myc	MGA	10.MGA	18.MGA
MYC	UCEC	0.059269583	0.406526825	1	NA	Myc	MYC	11.MYC	19.MYC
MAX	UCS	-0.261148561	0.050025359	1	NA	Myc	MAX	9.MAX	17.MAX
MGA	UCS	-0.105846513	0.432210489	1	NA	Myc	MGA	10.MGA	18.MGA
MYC	UCS	0.019121079	0.887554402	1	NA	Myc	MYC	11.MYC	19.MYC
MAX	UVM	-0.312798875	0.004895074	1	NA	Myc	MAX	9.MAX	17.MAX
MGA	UVM	0.404383497	0.000224452	0.299193954	NA	Myc	MGA	10.MGA	18.MGA
MYC	UVM	0.447069855	3.90E-05	0.051963133	NA	Myc	MYC	11.MYC	19.MYC
CREBBP	ACC	-0.128542344	0.261443021	1	NA	Notch	CREBBP	12.CREBBP	2.CREBBP
FBXW7	ACC	-0.08741891	0.445822835	1	NA	Notch	FBXW7	13.FBXW7	20.FBXW7
NCOR1	ACC	-0.026290166	0.818943027	1	NA	Notch	NCOR1	14.NCOR1	21.NCOR1
NOTCH1	ACC	-0.314482985	0.005221725	1	NA	Notch	NOTCH1	15.NOTCH1	22.NOTCH1
CREBBP	BLCA	-0.113523059	0.019562009	1	NA	Notch	CREBBP	12.CREBBP	2.CREBBP
FBXW7	BLCA	-0.109230671	0.024706731	1	NA	Notch	FBXW7	13.FBXW7	20.FBXW7
NCOR1	BLCA	-0.069621094	0.152836674	1	NA	Notch	NCOR1	14.NCOR1	21.NCOR1
NOTCH1	BLCA	-0.091134244	0.061128471	1	NA	Notch	NOTCH1	15.NOTCH1	22.NOTCH1
CREBBP	BRCA	-0.083635047	0.003917853	1	NA	Notch	CREBBP	12.CREBBP	2.CREBBP
FBXW7	BRCA	-0.227671035	1.97E-15	2.62E-12	2	Notch	FBXW7	13.FBXW7	20.FBXW7
NCOR1	BRCA	-0.092024255	0.001503034	1	NA	Notch	NCOR1	14.NCOR1	21.NCOR1
NOTCH1	BRCA	-0.175362085	1.16E-09	1.55E-06	2	Notch	NOTCH1	15.NOTCH1	22.NOTCH1
CREBBP	CESC	0.12708902	0.026269523	1	NA	Notch	CREBBP	12.CREBBP	2.CREBBP
FBXW7	CESC	-0.038552075	0.501450016	1	NA	Notch	FBXW7	13.FBXW7	20.FBXW7
NCOR1	CESC	0.060685997	0.289786621	1	NA	Notch	NCOR1	14.NCOR1	21.NCOR1
NOTCH1	CESC	0.064431873	0.260999344	1	NA	Notch	NOTCH1	15.NOTCH1	22.NOTCH1
CREBBP	CHOL	0.040974967	0.788760917	1	NA	Notch	CREBBP	12.CREBBP	2.CREBBP
FBXW7	CHOL	-0.515151515	0.000354829	0.472986465	NA	Notch	FBXW7	13.FBXW7	20.FBXW7
NCOR1	CHOL	-0.026086957	0.864707757	1	NA	Notch	NCOR1	14.NCOR1	21.NCOR1
NOTCH1	CHOL	0.375098814	0.011555012	1	NA	Notch	NOTCH1	15.NOTCH1	22.NOTCH1
CREBBP	CRC	-0.24680254	3.64E-07	0.000484553	2	Notch	CREBBP	12.CREBBP	2.CREBBP
FBXW7	CRC	-0.070538582	0.150406799	1	NA	Notch	FBXW7	13.FBXW7	20.FBXW7
NCOR1	CRC	-0.264921796	3.97E-08	5.30E-05	2	Notch	NCOR1	14.NCOR1	21.NCOR1
NOTCH1	CRC	0.093496053	0.056454627	1	NA	Notch	NOTCH1	15.NOTCH1	22.NOTCH1
CREBBP	DLBC	0.005644811	0.969798389	1	NA	Notch	CREBBP	12.CREBBP	2.CREBBP
FBXW7	DLBC	0.049717759	0.736499916	1	NA	Notch	FBXW7	13.FBXW7	20.FBXW7
NCOR1	DLBC	-0.015197568	0.918312422	1	NA	Notch	NCOR1	14.NCOR1	21.NCOR1
NOTCH1	DLBC	-0.358119844	0.012861177	1	NA	Notch	NOTCH1	15.NOTCH1	22.NOTCH1
CREBBP	ESCA	-0.117748785	0.102886899	1	NA	Notch	CREBBP	12.CREBBP	2.CREBBP
FBXW7	ESCA	-0.381525092	5.63E-08	7.51E-05	2	Notch	FBXW7	13.FBXW7	20.FBXW7
NCOR1	ESCA	0.145408231	0.043698558	1	NA	Notch	NCOR1	14.NCOR1	21.NCOR1
NOTCH1	ESCA	0.089825597	0.213921907	1	NA	Notch	NOTCH1	15.NOTCH1	22.NOTCH1
CREBBP	GBM	0.261978986	0.000499803	0.666237316	NA	Notch	CREBBP	12.CREBBP	2.CREBBP
FBXW7	GBM	-0.059542698	0.434750186	1	NA	Notch	FBXW7	13.FBXW7	20.FBXW7
NCOR1	GBM	0.168304337	0.026527877	1	NA	Notch	NCOR1	14.NCOR1	21.NCOR1
NOTCH1	GBM	0.483299638	1.33E-11	1.78E-08	2	Notch	NOTCH1	15.NOTCH1	22.NOTCH1
CREBBP	HNSC	0.029033894	0.492799894	1	NA	Notch	CREBBP	12.CREBBP	2.CREBBP
FBXW7	HNSC	-0.295900172	8.85E-13	1.18E-09	2	Notch	FBXW7	13.FBXW7	20.FBXW7
NCOR1	HNSC	-0.043040954	0.309281781	1	NA	Notch	NCOR1	14.NCOR1	21.NCOR1
NOTCH1	HNSC	0.112662408	0.007616291	1	NA	Notch	NOTCH1	15.NOTCH1	22.NOTCH1
CREBBP	KICH	0.398501873	0.000124735	0.166271092	NA	Notch	CREBBP	12.CREBBP	2.CREBBP
FBXW7	KICH	0.133214164	0.212889399	1	NA	Notch	FBXW7	13.FBXW7	20.FBXW7
NCOR1	KICH	-0.148995574	0.163188412	1	NA	Notch	NCOR1	14.NCOR1	21.NCOR1
NOTCH1	KICH	-0.138593803	0.194861976	1	NA	Notch	NOTCH1	15.NOTCH1	22.NOTCH1
CREBBP	KIRC	0.17199957	2.79E-05	0.037250331	2	Notch	CREBBP	12.CREBBP	2.CREBBP
FBXW7	KIRC	0.165939511	5.35E-05	0.071290691	NA	Notch	FBXW7	13.FBXW7	20.FBXW7
NCOR1	KIRC	-0.064970355	0.115835519	1	NA	Notch	NCOR1	14.NCOR1	21.NCOR1
NOTCH1	KIRC	0.097156603	0.018579891	1	NA	Notch	NOTCH1	15.NOTCH1	22.NOTCH1
CREBBP	KIRP	0.23427403	2.44E-05	0.032546975	2	Notch	CREBBP	12.CREBBP	2.CREBBP
FBXW7	KIRP	0.098660906	0.078969567	1	NA	Notch	FBXW7	13.FBXW7	20.FBXW7
NCOR1	KIRP	0.004666277	0.933908565	1	NA	Notch	NCOR1	14.NCOR1	21.NCOR1
NOTCH1	KIRP	-0.145166199	0.009586794	1	NA	Notch	NOTCH1	15.NOTCH1	22.NOTCH1
CREBBP	LAML	-0.137323797	0.071629574	1	NA	Notch	CREBBP	12.CREBBP	2.CREBBP
FBXW7	LAML	-0.043155597	0.572558793	1	NA	Notch	FBXW7	13.FBXW7	20.FBXW7
NCOR1	LAML	-0.01335923	0.861382636	1	NA	Notch	NCOR1	14.NCOR1	21.NCOR1
NOTCH1	LAML	0.198749832	0.008850479	1	NA	Notch	NOTCH1	15.NOTCH1	22.NOTCH1
CREBBP	LGG	0.371551547	5.65E-08	7.54E-05	2	Notch	CREBBP	12.CREBBP	2.CREBBP
FBXW7	LGG	0.061260434	0.383763057	1	NA	Notch	FBXW7	13.FBXW7	20.FBXW7
NCOR1	LGG	0.202017089	0.003816959	1	NA	Notch	NCOR1	14.NCOR1	21.NCOR1
NOTCH1	LGG	0.400726548	3.94E-09	5.26E-06	2	Notch	NOTCH1	15.NOTCH1	22.NOTCH1
CREBBP	LIHC	-0.034738195	0.477012476	1	NA	Notch	CREBBP	12.CREBBP	2.CREBBP
FBXW7	LIHC	-0.227034642	2.69E-06	0.003582688	2	Notch	FBXW7	13.FBXW7	20.FBXW7
NCOR1	LIHC	-0.297249444	4.91E-10	6.54E-07	2	Notch	NCOR1	14.NCOR1	21.NCOR1
NOTCH1	LIHC	-0.068435086	0.160962042	1	NA	Notch	NOTCH1	15.NOTCH1	22.NOTCH1
CREBBP	LUAD	-0.143658324	0.000594984	0.793113312	NA	Notch	CREBBP	12.CREBBP	2.CREBBP
FBXW7	LUAD	-0.005911884	0.888097814	1	NA	Notch	FBXW7	13.FBXW7	20.FBXW7
NCOR1	LUAD	-0.134382625	0.001324718	1	NA	Notch	NCOR1	14.NCOR1	21.NCOR1
NOTCH1	LUAD	-0.331671093	4.46E-16	5.95E-13	2	Notch	NOTCH1	15.NOTCH1	22.NOTCH1
CREBBP	LUSC	-0.017459612	0.686445033	1	NA	Notch	CREBBP	12.CREBBP	2.CREBBP
FBXW7	LUSC	-0.210452457	9.15E-07	0.001219412	2	Notch	FBXW7	13.FBXW7	20.FBXW7
NCOR1	LUSC	-0.122075238	0.004636069	1	NA	Notch	NCOR1	14.NCOR1	21.NCOR1
NOTCH1	LUSC	-0.003532149	0.934916352	1	NA	Notch	NOTCH1	15.NOTCH1	22.NOTCH1
CREBBP	OV	-0.034313677	0.549864143	1	NA	Notch	CREBBP	12.CREBBP	2.CREBBP
FBXW7	OV	0.014520086	0.800179527	1	NA	Notch	FBXW7	13.FBXW7	20.FBXW7
NCOR1	OV	0.056329071	0.325856862	1	NA	Notch	NCOR1	14.NCOR1	21.NCOR1
NOTCH1	OV	0.022426466	0.695984605	1	NA	Notch	NOTCH1	15.NOTCH1	22.NOTCH1
CREBBP	PAAD	-0.113356913	0.152078512	1	NA	Notch	CREBBP	12.CREBBP	2.CREBBP
FBXW7	PAAD	-0.256953071	0.001035631	1	NA	Notch	FBXW7	13.FBXW7	20.FBXW7
NCOR1	PAAD	-0.133080285	0.092375493	1	NA	Notch	NCOR1	14.NCOR1	21.NCOR1
NOTCH1	PAAD	-0.18155337	0.021289374	1	NA	Notch	NOTCH1	15.NOTCH1	22.NOTCH1
CREBBP	PCPG	0.317343081	1.13E-05	0.015096281	2	Notch	CREBBP	12.CREBBP	2.CREBBP
FBXW7	PCPG	0.048719515	0.508677566	1	NA	Notch	FBXW7	13.FBXW7	20.FBXW7
NCOR1	PCPG	0.297174214	4.12E-05	0.054940941	NA	Notch	NCOR1	14.NCOR1	21.NCOR1
NOTCH1	PCPG	-0.365589844	3.52E-07	0.000468698	2	Notch	NOTCH1	15.NOTCH1	22.NOTCH1
CREBBP	PRAD	-0.017008356	0.691971453	1	NA	Notch	CREBBP	12.CREBBP	2.CREBBP
FBXW7	PRAD	-0.082333595	0.054738467	1	NA	Notch	FBXW7	13.FBXW7	20.FBXW7
NCOR1	PRAD	-0.080485426	0.060424378	1	NA	Notch	NCOR1	14.NCOR1	21.NCOR1
NOTCH1	PRAD	-0.349972794	3.57E-17	4.76E-14	2	Notch	NOTCH1	15.NOTCH1	22.NOTCH1
CREBBP	SARC	0.232599708	0.000160253	0.21361674	NA	Notch	CREBBP	12.CREBBP	2.CREBBP
FBXW7	SARC	-0.199266034	0.001262148	1	NA	Notch	FBXW7	13.FBXW7	20.FBXW7
NCOR1	SARC	0.165310365	0.007618756	1	NA	Notch	NCOR1	14.NCOR1	21.NCOR1
NOTCH1	SARC	-0.054766172	0.378895988	1	NA	Notch	NOTCH1	15.NOTCH1	22.NOTCH1
CREBBP	SKCM	0.021802978	0.63610533	1	NA	Notch	CREBBP	12.CREBBP	2.CREBBP
FBXW7	SKCM	-0.125301238	0.006388965	1	NA	Notch	FBXW7	13.FBXW7	20.FBXW7
NCOR1	SKCM	0.012540693	0.785598114	1	NA	Notch	NCOR1	14.NCOR1	21.NCOR1
NOTCH1	SKCM	-0.059526148	0.196168377	1	NA	Notch	NOTCH1	15.NOTCH1	22.NOTCH1
CREBBP	STAD	-0.2154905	5.62E-06	0.007494948	2	Notch	CREBBP	12.CREBBP	2.CREBBP
FBXW7	STAD	-0.222210768	2.97E-06	0.003954102	2	Notch	FBXW7	13.FBXW7	20.FBXW7
NCOR1	STAD	0.02016604	0.674548886	1	NA	Notch	NCOR1	14.NCOR1	21.NCOR1
NOTCH1	STAD	0.094672123	0.048231524	1	NA	Notch	NOTCH1	15.NOTCH1	22.NOTCH1
CREBBP	TGCT	-0.099935548	0.215753928	1	NA	Notch	CREBBP	12.CREBBP	2.CREBBP
FBXW7	TGCT	9.02E-05	0.99912577	1	NA	Notch	FBXW7	13.FBXW7	20.FBXW7
NCOR1	TGCT	-0.048306532	0.550179307	1	NA	Notch	NCOR1	14.NCOR1	21.NCOR1
NOTCH1	TGCT	-0.307711643	0.000105947	0.14122698	NA	Notch	NOTCH1	15.NOTCH1	22.NOTCH1
CREBBP	THCA	0.059996743	0.153607301	1	NA	Notch	CREBBP	12.CREBBP	2.CREBBP
FBXW7	THCA	0.177739056	2.14E-05	0.02848504	2	Notch	FBXW7	13.FBXW7	20.FBXW7
NCOR1	THCA	0.104543702	0.012749014	1	NA	Notch	NCOR1	14.NCOR1	21.NCOR1
NOTCH1	THCA	-0.020488525	0.626269333	1	NA	Notch	NOTCH1	15.NOTCH1	22.NOTCH1
CREBBP	THYM	-0.32440247	0.000286983	0.382548455	NA	Notch	CREBBP	12.CREBBP	2.CREBBP
FBXW7	THYM	-0.216822362	0.016602096	1	NA	Notch	FBXW7	13.FBXW7	20.FBXW7
NCOR1	THYM	-0.235902333	0.009036433	1	NA	Notch	NCOR1	14.NCOR1	21.NCOR1
NOTCH1	THYM	-0.181200247	0.045902428	1	NA	Notch	NOTCH1	15.NOTCH1	22.NOTCH1
CREBBP	UCEC	-0.234574658	0.000906052	1	NA	Notch	CREBBP	12.CREBBP	2.CREBBP
FBXW7	UCEC	-0.267758574	0.000144491	0.192606218	NA	Notch	FBXW7	13.FBXW7	20.FBXW7
NCOR1	UCEC	-0.059478287	0.404874153	1	NA	Notch	NCOR1	14.NCOR1	21.NCOR1
NOTCH1	UCEC	0.026201613	0.713820967	1	NA	Notch	NOTCH1	15.NOTCH1	22.NOTCH1
CREBBP	UCS	0.117189526	0.384286702	1	NA	Notch	CREBBP	12.CREBBP	2.CREBBP
FBXW7	UCS	0.061122634	0.650684547	1	NA	Notch	FBXW7	13.FBXW7	20.FBXW7
NCOR1	UCS	0.046603578	0.730024755	1	NA	Notch	NCOR1	14.NCOR1	21.NCOR1
NOTCH1	UCS	0.084392015	0.531521231	1	NA	Notch	NOTCH1	15.NOTCH1	22.NOTCH1
CREBBP	UVM	-0.030075012	0.790760801	1	NA	Notch	CREBBP	12.CREBBP	2.CREBBP
FBXW7	UVM	0.307337084	0.005731124	1	NA	Notch	FBXW7	13.FBXW7	20.FBXW7
NCOR1	UVM	0.262798875	0.018764868	1	NA	Notch	NCOR1	14.NCOR1	21.NCOR1
NOTCH1	UVM	-0.06371308	0.573756032	1	NA	Notch	NOTCH1	15.NOTCH1	22.NOTCH1
CUL3	ACC	0.217567243	0.055851179	1	NA	Nrf2	CUL3	16.CUL3	23.CUL3
KEAP1	ACC	0.013492836	0.906530938	1	NA	Nrf2	KEAP1	17.KEAP1	24.KEAP1
NFE2L2	ACC	0.225230466	0.047605197	1	NA	Nrf2	NFE2L2	18.NFE2L2	25.NFE2L2
CUL3	BLCA	-0.125701741	0.009655588	1	NA	Nrf2	CUL3	16.CUL3	23.CUL3
KEAP1	BLCA	0.033872018	0.487036419	1	NA	Nrf2	KEAP1	17.KEAP1	24.KEAP1
NFE2L2	BLCA	-0.198360226	4.12E-05	0.054974052	NA	Nrf2	NFE2L2	18.NFE2L2	25.NFE2L2
CUL3	BRCA	0.008857804	0.760373895	1	NA	Nrf2	CUL3	16.CUL3	23.CUL3
KEAP1	BRCA	0.086700574	0.002782215	1	NA	Nrf2	KEAP1	17.KEAP1	24.KEAP1
NFE2L2	BRCA	-0.307504431	1.96E-27	2.61E-24	2	Nrf2	NFE2L2	18.NFE2L2	25.NFE2L2
CUL3	CESC	0.008045634	0.888465365	1	NA	Nrf2	CUL3	16.CUL3	23.CUL3
KEAP1	CESC	0.056663715	0.323178369	1	NA	Nrf2	KEAP1	17.KEAP1	24.KEAP1
NFE2L2	CESC	0.10735658	0.060723069	1	NA	Nrf2	NFE2L2	18.NFE2L2	25.NFE2L2
CUL3	CHOL	0.007905138	0.959066423	1	NA	Nrf2	CUL3	16.CUL3	23.CUL3
KEAP1	CHOL	-0.13030303	0.392334134	1	NA	Nrf2	KEAP1	17.KEAP1	24.KEAP1
NFE2L2	CHOL	-0.508432148	0.000433468	0.577813011	NA	Nrf2	NFE2L2	18.NFE2L2	25.NFE2L2
CUL3	CRC	0.005238053	0.91507163	1	NA	Nrf2	CUL3	16.CUL3	23.CUL3
KEAP1	CRC	0.16086928	0.000991496	1	NA	Nrf2	KEAP1	17.KEAP1	24.KEAP1
NFE2L2	CRC	-0.15069752	0.00203051	1	NA	Nrf2	NFE2L2	18.NFE2L2	25.NFE2L2
CUL3	DLBC	0.247503257	0.089958654	1	NA	Nrf2	CUL3	16.CUL3	23.CUL3
KEAP1	DLBC	-0.179439861	0.221604526	1	NA	Nrf2	KEAP1	17.KEAP1	24.KEAP1
NFE2L2	DLBC	-0.325336518	0.024499563	1	NA	Nrf2	NFE2L2	18.NFE2L2	25.NFE2L2
CUL3	ESCA	0.052133967	0.471153968	1	NA	Nrf2	CUL3	16.CUL3	23.CUL3
KEAP1	ESCA	0.158102866	0.028185428	1	NA	Nrf2	KEAP1	17.KEAP1	24.KEAP1
NFE2L2	ESCA	-0.189307796	0.008452802	1	NA	Nrf2	NFE2L2	18.NFE2L2	25.NFE2L2
CUL3	GBM	0.138939036	0.067528801	1	NA	Nrf2	CUL3	16.CUL3	23.CUL3
KEAP1	GBM	0.284225633	0.000153196	0.204210874	NA	Nrf2	KEAP1	17.KEAP1	24.KEAP1
NFE2L2	GBM	-0.229057775	0.002416819	1	NA	Nrf2	NFE2L2	18.NFE2L2	25.NFE2L2
CUL3	HNSC	-0.172970025	3.87E-05	0.051582115	NA	Nrf2	CUL3	16.CUL3	23.CUL3
KEAP1	HNSC	0.193560338	4.13E-06	0.005499697	2	Nrf2	KEAP1	17.KEAP1	24.KEAP1
NFE2L2	HNSC	0.119682301	0.004589323	1	NA	Nrf2	NFE2L2	18.NFE2L2	25.NFE2L2
CUL3	KICH	-0.273135853	0.009797617	1	NA	Nrf2	CUL3	16.CUL3	23.CUL3
KEAP1	KICH	0.391470889	0.000167033	0.222654513	NA	Nrf2	KEAP1	17.KEAP1	24.KEAP1
NFE2L2	KICH	-0.267722165	0.011399954	1	NA	Nrf2	NFE2L2	18.NFE2L2	25.NFE2L2
CUL3	KIRC	-0.204950805	5.82E-07	0.000776144	2	Nrf2	CUL3	16.CUL3	23.CUL3
KEAP1	KIRC	0.076609672	0.063613976	1	NA	Nrf2	KEAP1	17.KEAP1	24.KEAP1
NFE2L2	KIRC	-0.169536398	3.74E-05	0.049895507	2	Nrf2	NFE2L2	18.NFE2L2	25.NFE2L2
CUL3	KIRP	-0.02812286	0.617156607	1	NA	Nrf2	CUL3	16.CUL3	23.CUL3
KEAP1	KIRP	0.025668908	0.648207708	1	NA	Nrf2	KEAP1	17.KEAP1	24.KEAP1
NFE2L2	KIRP	0.065717278	0.24243874	1	NA	Nrf2	NFE2L2	18.NFE2L2	25.NFE2L2
CUL3	LAML	0.03979493	0.602843661	1	NA	Nrf2	CUL3	16.CUL3	23.CUL3
KEAP1	LAML	0.20068743	0.008200542	1	NA	Nrf2	KEAP1	17.KEAP1	24.KEAP1
NFE2L2	LAML	-0.307007338	4.34E-05	0.057813806	NA	Nrf2	NFE2L2	18.NFE2L2	25.NFE2L2
CUL3	LGG	0.2310154	0.000911793	1	NA	Nrf2	CUL3	16.CUL3	23.CUL3
KEAP1	LGG	0.248159954	0.000359143	0.4787372	NA	Nrf2	KEAP1	17.KEAP1	24.KEAP1
NFE2L2	LGG	-0.278122283	6.02E-05	0.080222729	NA	Nrf2	NFE2L2	18.NFE2L2	25.NFE2L2
CUL3	LIHC	-0.115159529	0.018092503	1	NA	Nrf2	CUL3	16.CUL3	23.CUL3
KEAP1	LIHC	0.117477329	0.015924516	1	NA	Nrf2	KEAP1	17.KEAP1	24.KEAP1
NFE2L2	LIHC	-0.37012063	4.65E-15	6.20E-12	2	Nrf2	NFE2L2	18.NFE2L2	25.NFE2L2
CUL3	LUAD	0.059500334	0.156354547	1	NA	Nrf2	CUL3	16.CUL3	23.CUL3
KEAP1	LUAD	0.026843486	0.522693751	1	NA	Nrf2	KEAP1	17.KEAP1	24.KEAP1
NFE2L2	LUAD	-0.404751941	0	0	2	Nrf2	NFE2L2	18.NFE2L2	25.NFE2L2
CUL3	LUSC	-0.075667358	0.079796413	1	NA	Nrf2	CUL3	16.CUL3	23.CUL3
KEAP1	LUSC	0.336717174	1.37E-15	1.82E-12	2	Nrf2	KEAP1	17.KEAP1	24.KEAP1
NFE2L2	LUSC	0.18549192	1.52E-05	0.020237321	2	Nrf2	NFE2L2	18.NFE2L2	25.NFE2L2
CUL3	OV	0.182156413	0.001395256	1	NA	Nrf2	CUL3	16.CUL3	23.CUL3
KEAP1	OV	0.010235196	0.858396509	1	NA	Nrf2	KEAP1	17.KEAP1	24.KEAP1
NFE2L2	OV	0.062700494	0.274050611	1	NA	Nrf2	NFE2L2	18.NFE2L2	25.NFE2L2
CUL3	PAAD	0.136683345	0.083829207	1	NA	Nrf2	CUL3	16.CUL3	23.CUL3
KEAP1	PAAD	0.113963653	0.149886553	1	NA	Nrf2	KEAP1	17.KEAP1	24.KEAP1
